cpu, latency, 99th
45.44, 0.10419047619, 0.226666666667
58.12, 0.136904761905, 0.387619047619
60.4933333333, 0.18319047619, 0.658571428571
60.63, 0.784619047618, 2.44142857143
60.66, 0.669142857144, 2.17380952381
60.7133333333, 0.472285714286, 1.53476190476
60.9966666667, 0.450190476191, 1.61666666667
61.41, 0.772523809524, 2.48095238095
61.9033333333, 0.53319047619, 1.82857142857
62.5133333333, 0.753476190477, 3.05142857143
63.12, 0.854571428571, 2.84761904762
64.01, 0.548095238095, 1.81428571429
65.3766666667, 0.519333333333, 2.21904761905
66.0133333333, 0.734714285714, 3.06666666667
66.3733333333, 0.453761904762, 2.06666666667
67.2633333333, 0.536095238096, 2.53333333333
68.58, 0.713095238095, 2.35238095238
69.64, 0.635095238095, 1.9380952381
72.4866666667, 0.713571428571, 2.60476190476
79.0666666667, 0.733761904762, 2.29523809524
