usr, sys, cpu, latency, 99th
8.33333333333, 29.9066666667, 59.3866666667, 0.336571428571, 1.11571428571
8.63666666667, 30.4033333333, 59.9733333333, 0.560619047619, 1.67571428572
8.29, 31.77, 62.9466666667, 1.3800952381, 5.5619047619
8.69666666667, 33.8866666667, 63.6433333333, 1.52142857143, 11.1904761905
8.85333333333, 34.8, 65.07, 1.70938095238, 8.05238095238
9.04, 35.64, 65.7366666667, 1.46828571429, 6.81904761905
9.27, 35.9933333333, 65.1766666667, 1.69271428571, 15.7523809524
9.51, 36.63, 65.5933333333, 1.4539047619, 9.01428571429
9.57, 37.4666666667, 67.52, 1.53828571429, 7.69523809524
10.0466666667, 38.1066666667, 67.6566666667, 1.37247619047, 6.7
10.18, 38.8966666667, 68.0566666667, 1.07623809524, 6.19523809524
10.2033333333, 39.3033333333, 67.9666666667, 1.45076190476, 7.95714285713
10.22, 40.1066666667, 69.02, 1.42376190476, 4.83333333333
10.3866666667, 40.7733333333, 69.1766666667, 1.40733333333, 6.04761904762
10.9633333333, 41.4833333333, 69.9333333333, 0.874714285715, 3.46047619048
10.9233333333, 42.5666666667, 70.84, 0.90480952381, 3.22857142857
11.09, 43.2033333333, 71.4166666667, 1.61161904762, 4.70476190476
11.23, 44.6733333333, 72.65, 1.23933333333, 3.99047619048
11.8666666667, 47.41, 74.4366666667, 1.31319047619, 5.79523809524
13.0366666667, 51.6333333333, 77.93, 1.17809523809, 3.84285714286
